category,month,count,rollavg_3month
Aggravated Assault,2019-01-01,575,NA
Aggravated Assault,2019-02-01,551,NA
Aggravated Assault,2019-03-01,597,574
Aggravated Assault,2019-04-01,651,600
Aggravated Assault,2019-05-01,812,687
Aggravated Assault,2019-06-01,795,753
Aggravated Assault,2019-07-01,745,784
Aggravated Assault,2019-08-01,695,745
Aggravated Assault,2019-09-01,695,712
Aggravated Assault,2019-10-01,773,721
Aggravated Assault,2019-11-01,614,694
Aggravated Assault,2019-12-01,730,706
Aggravated Assault,2020-01-01,616,653
Aggravated Assault,2020-02-01,657,668
Aggravated Assault,2020-03-01,706,660
Aggravated Assault,2020-04-01,537,633
Aggravated Assault,2020-05-01,766,670
Aggravated Assault,2020-06-01,828,710
Aggravated Assault,2020-07-01,869,821
Aggravated Assault,2020-08-01,982,893
Aggravated Assault,2020-09-01,915,922
Aggravated Assault,2020-10-01,983,960
Aggravated Assault,2020-11-01,790,896
Aggravated Assault,2020-12-01,675,816
Aggravated Assault,2021-01-01,722,729
Aggravated Assault,2021-02-01,549,649
Aggravated Assault,2021-03-01,747,673
Aggravated Assault,2021-04-01,734,677
Aggravated Assault,2021-05-01,791,757
Aggravated Assault,2021-06-01,801,775
Aggravated Assault,2021-07-01,812,801
Aggravated Assault,2021-08-01,819,811
Aggravated Assault,2021-09-01,817,816
Aggravated Assault,2021-10-01,764,800
Aggravated Assault,2021-11-01,653,745
Aggravated Assault,2021-12-01,655,691
Aggravated Assault,2022-01-01,631,646
Aggravated Assault,2022-02-01,591,626
Aggravated Assault,2022-03-01,708,643
Aggravated Assault,2022-04-01,739,679
Aggravated Assault,2022-05-01,761,736
Aggravated Assault,2022-06-01,811,770
Aggravated Assault,2022-07-01,733,768
Aggravated Assault,2022-08-01,719,754
Aggravated Assault,2022-09-01,683,712
Aggravated Assault,2022-10-01,673,692
Aggravated Assault,2022-11-01,656,671
Aggravated Assault,2022-12-01,620,650
Aggravated Assault,2023-01-01,621,632
Aggravated Assault,2023-02-01,602,614
Aggravated Assault,2023-03-01,648,624
Aggravated Assault,2023-04-01,702,651
Aggravated Assault,2023-05-01,834,728
Aggravated Assault,2023-06-01,727,754
Aggravated Assault,2023-07-01,819,793
Aggravated Assault,2023-08-01,813,786
Aggravated Assault,2023-09-01,680,771
Aggravated Assault,2023-10-01,725,739
Aggravated Assault,2023-11-01,411,605
Burglary,2019-01-01,533,NA
Burglary,2019-02-01,431,NA
Burglary,2019-03-01,394,453
Burglary,2019-04-01,436,420
Burglary,2019-05-01,536,455
Burglary,2019-06-01,486,486
Burglary,2019-07-01,574,532
Burglary,2019-08-01,514,525
Burglary,2019-09-01,574,554
Burglary,2019-10-01,561,550
Burglary,2019-11-01,514,550
Burglary,2019-12-01,584,553
Burglary,2020-01-01,501,533
Burglary,2020-02-01,394,493
Burglary,2020-03-01,412,436
Burglary,2020-04-01,401,402
Burglary,2020-05-01,726,513
Burglary,2020-06-01,1340,822
Burglary,2020-07-01,391,819
Burglary,2020-08-01,408,713
Burglary,2020-09-01,420,406
Burglary,2020-10-01,990,606
Burglary,2020-11-01,472,627
Burglary,2020-12-01,462,641
Burglary,2021-01-01,406,447
Burglary,2021-02-01,324,397
Burglary,2021-03-01,369,366
Burglary,2021-04-01,365,353
Burglary,2021-05-01,383,372
Burglary,2021-06-01,433,394
Burglary,2021-07-01,429,415
Burglary,2021-08-01,459,440
Burglary,2021-09-01,530,473
Burglary,2021-10-01,571,520
Burglary,2021-11-01,518,540
Burglary,2021-12-01,516,535
Burglary,2022-01-01,440,491
Burglary,2022-02-01,416,457
Burglary,2022-03-01,493,450
Burglary,2022-04-01,472,460
Burglary,2022-05-01,510,492
Burglary,2022-06-01,528,503
Burglary,2022-07-01,556,531
Burglary,2022-08-01,552,545
Burglary,2022-09-01,524,544
Burglary,2022-10-01,489,522
Burglary,2022-11-01,500,504
Burglary,2022-12-01,435,475
Burglary,2023-01-01,423,453
Burglary,2023-02-01,353,404
Burglary,2023-03-01,449,408
Burglary,2023-04-01,426,409
Burglary,2023-05-01,454,443
Burglary,2023-06-01,514,465
Burglary,2023-07-01,529,499
Burglary,2023-08-01,530,524
Burglary,2023-09-01,572,544
Burglary,2023-10-01,551,551
Burglary,2023-11-01,274,466
Motor Vehicle Theft,2019-01-01,171,NA
Motor Vehicle Theft,2019-02-01,105,NA
Motor Vehicle Theft,2019-03-01,129,135
Motor Vehicle Theft,2019-04-01,135,123
Motor Vehicle Theft,2019-05-01,140,135
Motor Vehicle Theft,2019-06-01,142,139
Motor Vehicle Theft,2019-07-01,142,141
Motor Vehicle Theft,2019-08-01,155,146
Motor Vehicle Theft,2019-09-01,146,148
Motor Vehicle Theft,2019-10-01,188,163
Motor Vehicle Theft,2019-11-01,191,175
Motor Vehicle Theft,2019-12-01,152,177
Motor Vehicle Theft,2020-01-01,208,184
Motor Vehicle Theft,2020-02-01,139,166
Motor Vehicle Theft,2020-03-01,163,170
Motor Vehicle Theft,2020-04-01,164,155
Motor Vehicle Theft,2020-05-01,179,169
Motor Vehicle Theft,2020-06-01,184,176
Motor Vehicle Theft,2020-07-01,165,176
Motor Vehicle Theft,2020-08-01,231,193
Motor Vehicle Theft,2020-09-01,236,211
Motor Vehicle Theft,2020-10-01,264,244
Motor Vehicle Theft,2020-11-01,298,266
Motor Vehicle Theft,2020-12-01,308,290
Motor Vehicle Theft,2021-01-01,318,308
Motor Vehicle Theft,2021-02-01,208,278
Motor Vehicle Theft,2021-03-01,314,280
Motor Vehicle Theft,2021-04-01,623,382
Motor Vehicle Theft,2021-05-01,615,517
Motor Vehicle Theft,2021-06-01,654,631
Motor Vehicle Theft,2021-07-01,736,668
Motor Vehicle Theft,2021-08-01,785,725
Motor Vehicle Theft,2021-09-01,860,794
Motor Vehicle Theft,2021-10-01,947,864
Motor Vehicle Theft,2021-11-01,862,890
Motor Vehicle Theft,2021-12-01,863,891
Motor Vehicle Theft,2022-01-01,907,877
Motor Vehicle Theft,2022-02-01,831,867
Motor Vehicle Theft,2022-03-01,808,849
Motor Vehicle Theft,2022-04-01,770,803
Motor Vehicle Theft,2022-05-01,809,796
Motor Vehicle Theft,2022-06-01,831,803
Motor Vehicle Theft,2022-07-01,922,854
Motor Vehicle Theft,2022-08-01,994,916
Motor Vehicle Theft,2022-09-01,982,966
Motor Vehicle Theft,2022-10-01,1052,1009
Motor Vehicle Theft,2022-11-01,1259,1098
Motor Vehicle Theft,2022-12-01,1653,1321
Motor Vehicle Theft,2023-01-01,1756,1556
Motor Vehicle Theft,2023-02-01,1674,1694
Motor Vehicle Theft,2023-03-01,1665,1698
Motor Vehicle Theft,2023-04-01,1834,1724
Motor Vehicle Theft,2023-05-01,2091,1863
Motor Vehicle Theft,2023-06-01,2299,2075
Motor Vehicle Theft,2023-07-01,2603,2331
Motor Vehicle Theft,2023-08-01,2432,2445
Motor Vehicle Theft,2023-09-01,1722,2252
Motor Vehicle Theft,2023-10-01,1618,1924
Motor Vehicle Theft,2023-11-01,898,1413
Murder,2019-01-01,26,NA
Murder,2019-02-01,21,NA
Murder,2019-03-01,32,26
Murder,2019-04-01,24,26
Murder,2019-05-01,29,28
Murder,2019-06-01,31,28
Murder,2019-07-01,25,28
Murder,2019-08-01,41,32
Murder,2019-09-01,26,31
Murder,2019-10-01,35,34
Murder,2019-11-01,35,32
Murder,2019-12-01,30,33
Murder,2020-01-01,39,35
Murder,2020-02-01,22,30
Murder,2020-03-01,36,32
Murder,2020-04-01,29,29
Murder,2020-05-01,33,33
Murder,2020-06-01,44,35
Murder,2020-07-01,48,42
Murder,2020-08-01,52,48
Murder,2020-09-01,46,49
Murder,2020-10-01,66,55
Murder,2020-11-01,40,51
Murder,2020-12-01,45,50
Murder,2021-01-01,50,45
Murder,2021-02-01,27,41
Murder,2021-03-01,43,40
Murder,2021-04-01,51,40
Murder,2021-05-01,44,46
Murder,2021-06-01,56,50
Murder,2021-07-01,48,49
Murder,2021-08-01,38,47
Murder,2021-09-01,55,47
Murder,2021-10-01,46,46
Murder,2021-11-01,52,51
Murder,2021-12-01,52,50
Murder,2022-01-01,40,48
Murder,2022-02-01,35,42
Murder,2022-03-01,35,37
Murder,2022-04-01,31,34
Murder,2022-05-01,50,39
Murder,2022-06-01,43,41
Murder,2022-07-01,55,49
Murder,2022-08-01,46,48
Murder,2022-09-01,38,46
Murder,2022-10-01,38,41
Murder,2022-11-01,26,34
Murder,2022-12-01,43,36
Murder,2023-01-01,27,32
Murder,2023-02-01,34,35
Murder,2023-03-01,34,32
Murder,2023-04-01,27,32
Murder,2023-05-01,37,33
Murder,2023-06-01,27,30
Murder,2023-07-01,27,30
Murder,2023-08-01,34,29
Murder,2023-09-01,33,31
Murder,2023-10-01,22,30
Murder,2023-11-01,10,22
Other,2019-01-01,7435,NA
Other,2019-02-01,6681,NA
Other,2019-03-01,7794,7303
Other,2019-04-01,8590,7688
Other,2019-05-01,9241,8542
Other,2019-06-01,9256,9029
Other,2019-07-01,9632,9376
Other,2019-08-01,9478,9455
Other,2019-09-01,9033,9381
Other,2019-10-01,8675,9062
Other,2019-11-01,7217,8308
Other,2019-12-01,6898,7597
Other,2020-01-01,7604,7240
Other,2020-02-01,7655,7386
Other,2020-03-01,6602,7287
Other,2020-04-01,4828,6362
Other,2020-05-01,7201,6210
Other,2020-06-01,5761,5930
Other,2020-07-01,6086,6349
Other,2020-08-01,6267,6038
Other,2020-09-01,6498,6284
Other,2020-10-01,6616,6460
Other,2020-11-01,5403,6172
Other,2020-12-01,5333,5784
Other,2021-01-01,5787,5508
Other,2021-02-01,5038,5386
Other,2021-03-01,6031,5619
Other,2021-04-01,5870,5646
Other,2021-05-01,5962,5954
Other,2021-06-01,5992,5941
Other,2021-07-01,6330,6095
Other,2021-08-01,5945,6089
Other,2021-09-01,5912,6062
Other,2021-10-01,6326,6061
Other,2021-11-01,5437,5892
Other,2021-12-01,5198,5654
Other,2022-01-01,4748,5128
Other,2022-02-01,5107,5018
Other,2022-03-01,5875,5243
Other,2022-04-01,5959,5647
Other,2022-05-01,6360,6065
Other,2022-06-01,6203,6174
Other,2022-07-01,6266,6276
Other,2022-08-01,6270,6246
Other,2022-09-01,5865,6134
Other,2022-10-01,5788,5974
Other,2022-11-01,5665,5773
Other,2022-12-01,5482,5645
Other,2023-01-01,6092,5746
Other,2023-02-01,5588,5721
Other,2023-03-01,6537,6072
Other,2023-04-01,6519,6215
Other,2023-05-01,7064,6707
Other,2023-06-01,6760,6781
Other,2023-07-01,6703,6842
Other,2023-08-01,6708,6724
Other,2023-09-01,6299,6570
Other,2023-10-01,6186,6398
Other,2023-11-01,3727,5404
Robbery,2019-01-01,412,NA
Robbery,2019-02-01,369,NA
Robbery,2019-03-01,428,403
Robbery,2019-04-01,451,416
Robbery,2019-05-01,457,445
Robbery,2019-06-01,452,453
Robbery,2019-07-01,508,472
Robbery,2019-08-01,538,499
Robbery,2019-09-01,535,527
Robbery,2019-10-01,564,546
Robbery,2019-11-01,467,522
Robbery,2019-12-01,508,513
Robbery,2020-01-01,505,493
Robbery,2020-02-01,442,485
Robbery,2020-03-01,383,443
Robbery,2020-04-01,351,392
Robbery,2020-05-01,334,356
Robbery,2020-06-01,329,338
Robbery,2020-07-01,251,305
Robbery,2020-08-01,351,310
Robbery,2020-09-01,366,323
Robbery,2020-10-01,501,406
Robbery,2020-11-01,425,431
Robbery,2020-12-01,444,457
Robbery,2021-01-01,483,451
Robbery,2021-02-01,303,410
Robbery,2021-03-01,310,365
Robbery,2021-04-01,289,301
Robbery,2021-05-01,364,321
Robbery,2021-06-01,308,320
Robbery,2021-07-01,344,339
Robbery,2021-08-01,400,351
Robbery,2021-09-01,428,391
Robbery,2021-10-01,538,455
Robbery,2021-11-01,538,501
Robbery,2021-12-01,639,572
Robbery,2022-01-01,563,580
Robbery,2022-02-01,426,543
Robbery,2022-03-01,389,459
Robbery,2022-04-01,432,416
Robbery,2022-05-01,512,444
Robbery,2022-06-01,557,500
Robbery,2022-07-01,557,542
Robbery,2022-08-01,485,533
Robbery,2022-09-01,493,512
Robbery,2022-10-01,490,489
Robbery,2022-11-01,479,487
Robbery,2022-12-01,415,461
Robbery,2023-01-01,492,462
Robbery,2023-02-01,376,428
Robbery,2023-03-01,380,416
Robbery,2023-04-01,390,382
Robbery,2023-05-01,502,424
Robbery,2023-06-01,460,451
Robbery,2023-07-01,491,484
Robbery,2023-08-01,453,468
Robbery,2023-09-01,453,466
Robbery,2023-10-01,475,460
Robbery,2023-11-01,256,395
Sexual Assault,2019-01-01,86,NA
Sexual Assault,2019-02-01,64,NA
Sexual Assault,2019-03-01,102,84
Sexual Assault,2019-04-01,69,78
Sexual Assault,2019-05-01,85,85
Sexual Assault,2019-06-01,81,78
Sexual Assault,2019-07-01,101,89
Sexual Assault,2019-08-01,99,94
Sexual Assault,2019-09-01,84,95
Sexual Assault,2019-10-01,88,90
Sexual Assault,2019-11-01,76,83
Sexual Assault,2019-12-01,77,80
Sexual Assault,2020-01-01,78,77
Sexual Assault,2020-02-01,82,79
Sexual Assault,2020-03-01,77,79
Sexual Assault,2020-04-01,40,66
Sexual Assault,2020-05-01,51,56
Sexual Assault,2020-06-01,82,58
Sexual Assault,2020-07-01,73,69
Sexual Assault,2020-08-01,73,76
