category,description,total19,total20,total21,total22,total23,total24,last12mos,total_prior3years,avg_prior3years,inc_19to22,inc_19tolast12,inc_22tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate22,rate_last12,rate_prior3years
Aggravated Assault,Aggravated Assault Firearm,2616,3842,3750,3405,3319,2060,2915,10997,3665.7,30.2,11.4,-14.4,-20,166,243.7,237.9,216,184.9,232.6
Aggravated Assault,Aggravated Assault No Firearm,5617,5482,5108,4924,5131,3983,5439,15514,5171.3,-12.3,-3.2,10.5,5,356.4,347.8,324.1,312.4,345.1,328.1
Burglary,Burglary Non-Residential,1357,3278,1566,2192,1869,1094,1736,7036,2345.3,61.5,27.9,-20.8,-26,86.1,208,99.3,139.1,110.1,148.8
Burglary,Burglary Residential,4780,3639,3734,3724,3801,2463,3588,11097,3699,-22.1,-24.9,-3.7,-3,303.3,230.9,236.9,236.3,227.6,234.7
Motor Vehicle Theft,Motor Vehicle Theft,1796,2539,7780,11820,22473,10291,15549,22139,7379.7,558.1,765.8,31.5,111,113.9,161.1,493.6,749.9,986.5,468.2
Murder,Homicide - Criminal,355,500,561,515,405,186,286,1576,525.3,45.1,-19.4,-44.5,-46,22.5,31.7,35.6,32.7,18.1,33.3
Murder,Homicide - Gross Negligence,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0
Murder,Homicide - Justifiable,0,0,1,2,4,1,1,3,1,NA,NA,-50,0,0,0,0.1,0.1,0.1,0.1
Other,All Other Offenses,30833,15978,10950,11950,13341,10456,13830,38878,12959.3,-61.2,-55.1,15.7,7,1956.1,1013.7,694.7,758.1,877.4,822.2
Other,Arson,439,555,627,527,701,504,730,1709,569.7,20,66.3,38.5,28,27.9,35.2,39.8,33.4,46.3,36.1
Other,DRIVING UNDER THE INFLUENCE,2354,1619,1556,914,889,652,886,4089,1363,-61.2,-62.4,-3.1,-35,149.3,102.7,98.7,58,56.2,86.5
Other,Disorderly Conduct,941,729,407,316,410,289,397,1452,484,-66.4,-57.8,25.6,-18,59.7,46.2,25.8,20,25.2,30.7
Other,Embezzlement,408,211,133,237,229,154,216,581,193.7,-41.9,-47.1,-8.9,12,25.9,13.4,8.4,15,13.7,12.3
Other,Forgery and Counterfeiting,238,149,205,460,247,112,145,814,271.3,93.3,-39.1,-68.5,-47,15.1,9.5,13,29.2,9.2,17.2
Other,Fraud,9779,8712,8796,6922,7661,5996,8208,24430,8143.3,-29.2,-16.1,18.6,1,620.4,552.7,558,439.1,520.7,516.6
Other,Gambling Violations,75,10,12,1,3,19,20,23,7.7,-98.7,-73.3,1900,160,4.8,0.6,0.8,0.1,1.3,0.5
Other,Liquor Law Violations,121,72,92,63,73,76,92,227,75.7,-47.9,-24,46,22,7.7,4.6,5.8,4,5.8,4.8
Other,Narcotic / Drug Law Violations,10384,6447,3857,2927,2624,2110,2834,13231,4410.3,-71.8,-72.7,-3.2,-36,658.8,409,244.7,185.7,179.8,279.8
Other,Offenses Against Family and Children,536,403,187,161,415,262,367,751,250.3,-70,-31.5,128,47,34,25.6,11.9,10.2,23.3,15.9
Other,Other Assaults,24603,21917,24043,25359,25983,19406,26652,71319,23773,3.1,8.3,5.1,12,1560.9,1390.5,1525.3,1608.8,1690.8,1508.2
Other,Other Sex Offenses (Not Commercialized),1009,718,867,1041,1172,814,1151,2626,875.3,3.2,14.1,10.6,31,64,45.6,55,66,73,55.5
Other,Prostitution and Commercialized Vice,740,190,62,247,299,190,232,499,166.3,-66.6,-68.6,-6.1,40,46.9,12.1,3.9,15.7,14.7,10.6
Other,Public Drunkenness,141,40,69,48,28,27,35,157,52.3,-66,-75.2,-27.1,-33,8.9,2.5,4.4,3,2.2,3.3
Other,Receiving Stolen Property,28,24,656,1007,1482,898,1285,1687,562.3,3496.4,4489.3,27.6,129,1.8,1.5,41.6,63.9,81.5,35.7
Other,Vagrancy/Loitering,17,8,10,4,9,17,19,22,7.3,-76.5,11.8,375,160,1.1,0.5,0.6,0.3,1.2,0.5
Other,Vandalism/Criminal Mischief,14717,14527,13678,14372,17347,10165,14973,42577,14192.3,-2.3,1.7,4.2,6,933.7,921.6,867.8,911.8,949.9,900.4
Other,Weapon Violations,2567,3545,3599,3023,3236,1964,2783,10167,3389,17.8,8.4,-7.9,-18,162.9,224.9,228.3,191.8,176.6,215
Robbery,Robbery Firearm,2187,1872,2418,2956,2585,1174,1912,7246,2415.3,35.2,-12.6,-35.3,-21,138.7,118.8,153.4,187.5,121.3,153.2
Robbery,Robbery No Firearm,3502,2810,2524,2842,2672,1839,2594,8176,2725.3,-18.8,-25.9,-8.7,-5,222.2,178.3,160.1,180.3,164.6,172.9
Sexual Assault,Rape,1012,854,757,589,551,360,499,2200,733.3,-41.8,-50.7,-15.3,-32,64.2,54.2,48,37.4,31.7,46.5
Theft,Theft from Vehicle,13188,12819,12481,15546,12999,7803,11522,40846,13615.3,17.9,-12.6,-25.9,-15,836.7,813.3,791.8,986.3,731,863.8
Theft,Thefts,25099,20914,24628,33104,37058,28394,39262,78646,26215.3,31.9,56.4,18.6,50,1592.3,1326.8,1562.4,2100.2,2490.8,1663.1
