district,population,placename,category,total19,total20,total21,total22,total23,total24,last12mos,total_prior3years,avg_prior3years,inc_19to22,inc_19tolast12,inc_22tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate22,rate_last12,rate_prior3years
16,41000,"Powelton, Mantua and Parkside",Sexual Assault,42,25,27,16,24,20,20,68,22.7,-61.9,-52.4,25,-12,102.4,61,65.9,39,48.8,55.4
17,50000,South Philadelphia and Grays Ferry,Sexual Assault,20,10,19,14,9,2,3,43,14.3,-30,-85,-78.6,-79,40,20,38,28,6,28.6
18,80000,University City and Cobbs Creek,Sexual Assault,46,45,46,31,30,23,24,122,40.7,-32.6,-47.8,-22.6,-41,57.5,56.2,57.5,38.8,30,50.9
35,100000,Olney and Logan,Sexual Assault,75,63,49,41,38,42,43,153,51,-45.3,-42.7,4.9,-16,75,63,49,41,43,51
39,61000,"East Falls, Tioga and Nicetown",Sexual Assault,63,42,58,38,47,40,48,138,46,-39.7,-23.8,26.3,4,103.3,68.9,95.1,62.3,78.7,75.4
01,37000,Girard Estates and Navy Yard,Sexual Assault,18,9,4,6,6,13,13,19,6.3,-66.7,-27.8,116.7,106,48.6,24.3,10.8,16.2,35.1,17
02,115000,Oxford Circle and Lawncrest,Sexual Assault,57,53,31,42,25,28,30,126,42,-26.3,-47.4,-28.6,-29,49.6,46.1,27,36.5,26.1,36.5
03,93000,"Whitman, Stadium District and Lower Moyamensing",Sexual Assault,30,18,32,29,12,16,17,79,26.3,-3.3,-43.3,-41.4,-35,32.3,19.4,34.4,31.2,18.3,28.3
19,86000,"Overbrook, Wynnefield and Overbrook Park",Sexual Assault,71,46,44,36,34,63,66,126,42,-49.3,-7,83.3,57,82.6,53.5,51.2,41.9,76.7,48.8
22,77000,Strawberry Mansion and Stanton,Sexual Assault,85,70,78,58,43,61,64,206,68.7,-31.8,-24.7,10.3,-7,110.4,90.9,101.3,75.3,83.1,89.2
24,67000,Richmond and Port Richmond,Sexual Assault,70,59,39,42,37,40,42,140,46.7,-40,-40,0,-10,104.5,88.1,58.2,62.7,62.7,69.7
25,68000,Kensington and Harrowgate,Sexual Assault,68,80,74,47,49,43,46,201,67,-30.9,-32.4,-2.1,-31,100,117.6,108.8,69.1,67.6,98.5
26,57000,"Fishtown, Olde Kensington, East Kensington and West Kensington",Sexual Assault,41,26,24,24,17,22,23,74,24.7,-41.5,-43.9,-4.2,-7,71.9,45.6,42.1,42.1,40.4,43.3
15,139000,"Bridesburg, Frankford, Northwood and Wissimoming",Sexual Assault,92,90,53,47,44,48,50,190,63.3,-48.9,-45.7,6.4,-21,66.2,64.7,38.1,33.8,36,45.5
77,0,Philadelphia airport,Sexual Assault,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
05,43000,"Andorra, Roxborough and Manayunk",Sexual Assault,10,10,10,13,7,5,5,33,11,30,-50,-61.5,-55,23.3,23.3,23.3,30.2,11.6,25.6
06,46000,"Center City East, Chinatown, Poplar and Society Hill",Sexual Assault,31,21,27,19,22,4,5,67,22.3,-38.7,-83.9,-73.7,-78,67.4,45.7,58.7,41.3,10.9,48.5
07,95000,Somerton and Bustleton,Sexual Assault,15,22,10,3,12,14,14,35,11.7,-80,-6.7,366.7,20,15.8,23.2,10.5,3.2,14.7,12.3
08,97000,"Parkwood Manor, Byberry, Morrell Park and Millbrook",Sexual Assault,44,27,23,8,9,12,13,58,19.3,-81.8,-70.5,62.5,-33,45.4,27.8,23.7,8.2,13.4,19.9
09,66000,"Center City West, Logan Circle and North Philadelphia",Sexual Assault,23,20,21,17,14,39,39,58,19.3,-26.1,69.6,129.4,102,34.8,30.3,31.8,25.8,59.1,29.2
12,72000,"Kingsessing, Eastwick and Elmwood",Sexual Assault,59,59,57,30,40,20,22,146,48.7,-49.2,-62.7,-26.7,-55,81.9,81.9,79.2,41.7,30.6,67.6
14,112000,"Germantown, Mt. Airy and Chestnut Hill",Sexual Assault,52,59,31,28,31,27,28,118,39.3,-46.2,-46.2,0,-29,46.4,52.7,27.7,25,25,35.1
04,NA,NA,Sexual Assault,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
